label,dataset,status_C0,wall_time_C0,node_count_C0,status_C1,wall_time_C1,node_count_C1,status_C2,wall_time_C2,node_count_C2,status_C3,wall_time_C3,node_count_C3,status_C4,wall_time_C4,node_count_C4
inv_03,INVALID_OPEN,FAIL_OPEN,0.00017099999968195334,4.0,FAIL_OPEN,0.0014613000003009802,48.0,FAIL_OPEN,0.001616499999727239,48.0,FAIL_OPEN,0.0013976999998703832,48.0,FAIL_OPEN,0.0015055000003485475,48.0
inv_04,INVALID_OPEN,FAIL_OPEN,0.00023150000015448313,6.0,FAIL_OPEN,0.0024979000008897856,72.0,FAIL_OPEN,0.002454700001180754,72.0,FAIL_OPEN,0.002423200001430814,72.0,FAIL_OPEN,0.0028693000003841007,72.0
inv_05,INVALID_OPEN,FAIL_OPEN,3.234204000000318,10301.0,TIMEOUT,30.009836900000664,36404.0,TIMEOUT,30.00554700000066,38560.0,TIMEOUT,30.007055100000798,37190.0,TIMEOUT,30.004223400001138,36600.0
inv_06,INVALID_OPEN,FAIL_OPEN,0.00018879999879573006,3.0,FAIL_OPEN,0.0009353000004921341,36.0,FAIL_OPEN,0.0009364000015921192,36.0,FAIL_OPEN,0.0009226000001945067,36.0,FAIL_OPEN,0.0009831000006670365,36.0
inv_07,INVALID_OPEN,FAIL_OPEN,3.4911362000002555,10202.0,TIMEOUT,30.00518959999863,36753.0,TIMEOUT,30.005560100000366,38270.0,TIMEOUT,30.00543650000145,37463.0,TIMEOUT,30.0033465000015,38018.0
inv_08,INVALID_OPEN,FAIL_OPEN,0.00015109999912965577,4.0,FAIL_OPEN,0.0009030000001075678,48.0,FAIL_OPEN,0.0011039000000891974,48.0,FAIL_OPEN,0.0008665999994263984,48.0,FAIL_OPEN,0.0011123999993287725,48.0
inv_09,INVALID_OPEN,FAIL_OPEN,0.00014110000120126642,5.0,FAIL_OPEN,0.001144699999713339,60.0,FAIL_OPEN,0.0013788999985990813,60.0,FAIL_OPEN,0.001221300000906922,60.0,FAIL_OPEN,0.0012594999989232747,60.0
inv_10,INVALID_OPEN,TIMEOUT,30.001264900000024,69392.0,TIMEOUT,30.00615470000048,72696.0,TIMEOUT,30.00382350000109,71856.0,TIMEOUT,30.00344849999965,76412.0,TIMEOUT,30.004005400000096,72704.0
inv_11,INVALID_OPEN,FAIL_OPEN,4.361746900000071,10202.0,TIMEOUT,30.00274250000075,38367.0,TIMEOUT,30.003463699998974,42344.0,TIMEOUT,30.030052699999942,43233.0,TIMEOUT,30.00445060000129,41209.0
inv_12,INVALID_OPEN,NODE_LIMIT,8.310006599998815,200000.0,NODE_LIMIT,11.372626899999887,200000.0,NODE_LIMIT,9.771716900000683,200000.0,TIMEOUT,30.00756949999959,111912.0,TIMEOUT,30.012330999999904,110585.0
pel_1,PELLETIER,PROVED,0.0003219999998691492,15.0,PROVED,0.000409399999625748,15.0,PROVED,0.00040350000017497223,15.0,PROVED,0.00039169999945443124,15.0,PROVED,0.00040830000034475233,15.0
pel_10,PELLETIER,PROVED,0.0009520000003249152,39.0,PROVED,0.0010330999994039303,39.0,PROVED,0.0008731000016268808,30.0,PROVED,0.0008665000004839385,39.0,PROVED,0.0008090999999694759,30.0
pel_11,PELLETIER,PROVED,0.00010370000018156134,5.0,PROVED,0.00012690000039583538,5.0,PROVED,0.0001250000004802132,4.0,PROVED,0.00012349999997240957,5.0,PROVED,0.00011499999891384505,4.0
pel_13,PELLETIER,PROVED,0.0005356000001484063,25.0,PROVED,0.0005944000004092231,25.0,PROVED,0.0006474999991041841,25.0,PROVED,0.0005954999996902188,25.0,PROVED,0.0006317999996099388,25.0
pel_14,PELLETIER,PROVED,0.0007679999998799758,37.0,PROVED,0.000925199999983306,37.0,PROVED,0.0008631999990029726,32.0,PROVED,0.0008703000003151828,37.0,PROVED,0.0008249000002251705,32.0
pel_15,PELLETIER,PROVED,0.0002903000004153,13.0,PROVED,0.0003531000002112705,13.0,PROVED,0.000365700001566438,13.0,PROVED,0.0003438000003370689,13.0,PROVED,0.00035399999978835694,13.0
pel_16,PELLETIER,PROVED,0.00010340000153519213,4.0,PROVED,0.00011760000052163377,4.0,PROVED,0.00014069999997445848,4.0,PROVED,0.00012880000031145755,4.0,PROVED,0.00013469999976223335,4.0
pel_17,PELLETIER,PROVED,0.0009282999999413732,40.0,PROVED,0.0010437999990244862,40.0,PROVED,0.0011026000011042925,40.0,PROVED,0.0010758999997051433,40.0,PROVED,0.0011431999992055353,40.0
pel_18,PELLETIER,PROVED,0.0003422999998292653,7.0,PROVED,0.0003787000005104346,7.0,PROVED,0.00038889999996172264,7.0,PROVED,0.0003673999999591615,7.0,PROVED,0.00038300000051094685,7.0
pel_19,PELLETIER,PROVED,0.0011194999988219934,18.0,PROVED,0.0012412000014592195,18.0,PROVED,0.0012601999987964518,18.0,PROVED,0.0013543000004574424,18.0,PROVED,0.0014661000004707603,18.0
pel_2,PELLETIER,PROVED,0.00021050000032118987,9.0,PROVED,0.0002538999997341307,9.0,PROVED,0.00026839999918593094,9.0,PROVED,0.00026499999876250513,9.0,PROVED,0.00025649999952293,9.0
pel_20,PELLETIER,TIMEOUT,30.002862399998776,50817.0,TIMEOUT,30.00579839999955,78447.0,TIMEOUT,30.00471209999887,80052.0,TIMEOUT,30.00390139999945,82154.0,TIMEOUT,30.003598900000725,86490.0
pel_21,PELLETIER,PROVED,0.0010323000005882932,31.0,PROVED,0.0011664999983622693,31.0,PROVED,0.0011933999994653277,31.0,PROVED,0.0011918000000150641,31.0,PROVED,0.0013225000002421439,31.0
pel_22,PELLETIER,PROVED,0.015339700001277379,312.0,PROVED,0.798423800000819,2397.0,PROVED,0.42666880000069796,2387.0,PROVED,0.4346832999999606,2397.0,PROVED,0.5033118999999715,2387.0
pel_23,PELLETIER,PROVED,0.00048410000090370886,15.0,PROVED,0.0005421000005298993,15.0,PROVED,0.0005412999998952728,15.0,PROVED,0.0005450000007840572,15.0,PROVED,0.0005274000013741897,15.0
